cc,country,survyear,eppregion,Subnational region,survname,ISO3,Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
834,United Republic of Tanzania,,Mwanza,,Naomi,TZA,male,,,,,,11265,14326,17705,21499,28808,
834,United Republic of Tanzania,,Mara,,Naomi,TZA,female,,,,,,6193,17211,20259,24770,28656,
834,United Republic of Tanzania,,Mara,,Naomi,TZA,male,,,,,,2832,7057,7907,9817,11947,
834,United Republic of Tanzania,,Manyara,,Naomi,TZA,female,,,,,,3885,4821,5432,6111,7893,
834,United Republic of Tanzania,,Manyara,,Naomi,TZA,male,,,,,,1274,1470,1848,2270,2973,
834,United Republic of Tanzania,,Njombe,,Naomi,TZA,female,,,,,,17676,23589,28731,33631,36470,
834,United Republic of Tanzania,,Njombe,,Naomi,TZA,male,,,,,,8171,12064,14773,17637,20928,
834,United Republic of Tanzania,,Katavi,,Naomi,TZA,female,,,,,,3809,5402,8769,10936,11404,
834,United Republic of Tanzania,,Katavi,,Naomi,TZA,male,,,,,,1978,2755,5022,6565,6595,
834,United Republic of Tanzania,,Simiyu,,Naomi,TZA,female,,,,,,9794,12052,14279,16061,18079,
834,United Republic of Tanzania,,Simiyu,,Naomi,TZA,male,,,,,,4681,6000,7434,8598,9683,
834,United Republic of Tanzania,,Geita,,Naomi,TZA,female,,,,,,10951,16086,21289,27679,34665,
834,United Republic of Tanzania,,Geita,,Naomi,TZA,male,,,,,,5762,8225,10651,14012,19507,
834,United Republic of Tanzania,,Songwe,,Naomi,TZA,female,,,,,,10956,16083,21062,20622,22475,
834,United Republic of Tanzania,,Songwe,,Naomi,TZA,male,,,,,,6313,8162,10992,11054,12211,
894,Zambia,,Central,,Naomi,ZMB,female,,,,,,,,,66125,77874,83407
894,Zambia,,Central,,Naomi,ZMB,male,,,,,,,,,42271,49563,52030
894,Zambia,,Copperbelt,,Naomi,ZMB,female,,,,,,,,,112932,124578,141913
894,Zambia,,Copperbelt,,Naomi,ZMB,male,,,,,,,,,65635,72454,83415
894,Zambia,,Eastern,,Naomi,ZMB,female,,,,,,,,,51548,55614,64990
894,Zambia,,Eastern,,Naomi,ZMB,male,,,,,,,,,29384,33871,37604
894,Zambia,,Luapula,,Naomi,ZMB,female,,,,,,,,,27915,31756,32914
894,Zambia,,Luapula,,Naomi,ZMB,male,,,,,,,,,15675,16964,18771
